nivel	provincia	departamento	poblacion_viviendas_particulares	poblacion_indigena
pais			45618787	1306730
provincia	Ciudad Autónoma de Buenos Aires		3095454	74724
departamento	Ciudad Autónoma de Buenos Aires	Comuna 1	221001	8163
departamento	Ciudad Autónoma de Buenos Aires	Comuna 10	171896	4066
departamento	Ciudad Autónoma de Buenos Aires	Comuna 11	201905	3472
departamento	Ciudad Autónoma de Buenos Aires	Comuna 12	235364	3444
departamento	Ciudad Autónoma de Buenos Aires	Comuna 13	262330	3393
departamento	Ciudad Autónoma de Buenos Aires	Comuna 14	247252	3697
departamento	Ciudad Autónoma de Buenos Aires	Comuna 15	195265	4417
departamento	Ciudad Autónoma de Buenos Aires	Comuna 2	160609	2355
departamento	Ciudad Autónoma de Buenos Aires	Comuna 3	193537	6161
departamento	Ciudad Autónoma de Buenos Aires	Comuna 4	227024	7109
departamento	Ciudad Autónoma de Buenos Aires	Comuna 5	192449	4623
departamento	Ciudad Autónoma de Buenos Aires	Comuna 6	201764	3367
departamento	Ciudad Autónoma de Buenos Aires	Comuna 7	213262	5608
departamento	Ciudad Autónoma de Buenos Aires	Comuna 8	203888	8718
departamento	Ciudad Autónoma de Buenos Aires	Comuna 9	167908	6131
provincia	Buenos Aires		17408906	371830
departamento	Buenos Aires	25 de Mayo	35411	572
departamento	Buenos Aires	9 de Julio	52366	610
departamento	Buenos Aires	Adolfo Alsina	17344	287
departamento	Buenos Aires	Adolfo Gonzales Chaves	12847	158
departamento	Buenos Aires	Alberti	12906	150
departamento	Buenos Aires	Almirante Brown	583209	13343
departamento	Buenos Aires	Arrecifes	32077	354
departamento	Buenos Aires	Avellaneda	366117	7082
departamento	Buenos Aires	Ayacucho	21757	261
departamento	Buenos Aires	Azul	75152	1272
departamento	Buenos Aires	Bahía Blanca	334505	8030
departamento	Buenos Aires	Balcarce	48516	622
departamento	Buenos Aires	Baradero	39223	572
departamento	Buenos Aires	Benito Juárez	21185	372
departamento	Buenos Aires	Berazategui	358328	7663
departamento	Buenos Aires	Berisso	100685	2442
departamento	Buenos Aires	Bolívar	37194	641
departamento	Buenos Aires	Bragado	46227	829
departamento	Buenos Aires	Brandsen	32350	522
departamento	Buenos Aires	Campana	107976	1567
departamento	Buenos Aires	Cañuelas	70542	1531
departamento	Buenos Aires	Capitán Sarmiento	15882	258
departamento	Buenos Aires	Carlos Casares	22905	304
departamento	Buenos Aires	Carlos Tejedor	14007	162
