provincia	pueblo	personas
Ciudad Autónoma de Buenos Aires	Guaraní	9465
Ciudad Autónoma de Buenos Aires	Quechua	8374
Ciudad Autónoma de Buenos Aires	Aymara	6449
Ciudad Autónoma de Buenos Aires	Diaguita	4154
Ciudad Autónoma de Buenos Aires	Mapuche	3632
Ciudad Autónoma de Buenos Aires	Kolla	2572
Ciudad Autónoma de Buenos Aires	Qom/Toba	1520
Ciudad Autónoma de Buenos Aires	Comechingón	1355
Ciudad Autónoma de Buenos Aires	Tehuelche	938
Ciudad Autónoma de Buenos Aires	Charrúa	878
Ciudad Autónoma de Buenos Aires	Ranquel	843
Ciudad Autónoma de Buenos Aires	Wichi	828
Ciudad Autónoma de Buenos Aires	Mapuche Tehuelche	797
Ciudad Autónoma de Buenos Aires	Huarpe	640
Ciudad Autónoma de Buenos Aires	Omaguaca	217
Ciudad Autónoma de Buenos Aires	Moqoit/Mocoví	189
Ciudad Autónoma de Buenos Aires	Günün A Küna	143
Ciudad Autónoma de Buenos Aires	Tonokoté	137
Ciudad Autónoma de Buenos Aires	Atacama	122
Ciudad Autónoma de Buenos Aires	Querandí	114
Ciudad Autónoma de Buenos Aires	Chicha	106
Ciudad Autónoma de Buenos Aires	Mbya Guaraní	104
Ciudad Autónoma de Buenos Aires	Chana	98
Ciudad Autónoma de Buenos Aires	Sanavirón	92
Ciudad Autónoma de Buenos Aires	Lule Vilela	82
Ciudad Autónoma de Buenos Aires	Diaguita Cacano	80
Ciudad Autónoma de Buenos Aires	Lule	75
Ciudad Autónoma de Buenos Aires	Selk´Nam/Ona	63
Ciudad Autónoma de Buenos Aires	Guaycurú	62
Ciudad Autónoma de Buenos Aires	Aoniken	44
Ciudad Autónoma de Buenos Aires	Guarayo	38
Ciudad Autónoma de Buenos Aires	Pilagá	38
Ciudad Autónoma de Buenos Aires	Chorote	32
Ciudad Autónoma de Buenos Aires	Avipón	31
Ciudad Autónoma de Buenos Aires	Ocloya	31
Ciudad Autónoma de Buenos Aires	Chané	23
Ciudad Autónoma de Buenos Aires	Tastil	20
Ciudad Autónoma de Buenos Aires	Vilela	14
Ciudad Autónoma de Buenos Aires	Kolla Atacameño	13
Ciudad Autónoma de Buenos Aires	Corundí	12
Ciudad Autónoma de Buenos Aires	Toara	12
Ciudad Autónoma de Buenos Aires	Chulupí/Nivaclé	11
Ciudad Autónoma de Buenos Aires	Yagán	9
Ciudad Autónoma de Buenos Aires	Weenhayek	7
Ciudad Autónoma de Buenos Aires	Fiscara	6
Ciudad Autónoma de Buenos Aires	Minuán	5
Ciudad Autónoma de Buenos Aires	Churumata	2
Ciudad Autónoma de Buenos Aires	Tapiete	2
Ciudad Autónoma de Buenos Aires	Tilián	2
Ciudad Autónoma de Buenos Aires	Iogys	1
Ciudad Autónoma de Buenos Aires	Isoceño	1
Ciudad Autónoma de Buenos Aires	Jujuí	1
Ciudad Autónoma de Buenos Aires	Michilingüe	1
Ciudad Autónoma de Buenos Aires	Sin información	30239
Buenos Aires	Guaraní	49845
Buenos Aires	Mapuche	29677
Buenos Aires	Quechua	25770
Buenos Aires	Qom/Toba	16503
Buenos Aires	Diaguita	15949
Buenos Aires	Aymara	8995
Buenos Aires	Kolla	6348
Buenos Aires	Comechingón	5111
Buenos Aires	Mapuche Tehuelche	4993
Buenos Aires	Tehuelche	4860
Buenos Aires	Wichi	4335
Buenos Aires	Ranquel	3648
Buenos Aires	Charrúa	3626
Buenos Aires	Huarpe	1902
Buenos Aires	Moqoit/Mocoví	1573
Buenos Aires	Günün A Küna	1404
Buenos Aires	Tonokoté	921
Buenos Aires	Querandí	710
Buenos Aires	Atacama	696
Buenos Aires	Mbya Guaraní	560
Buenos Aires	Chana	423
Buenos Aires	Guaycurú	412
Buenos Aires	Omaguaca	407
Buenos Aires	Sanavirón	373
Buenos Aires	Diaguita Cacano	340
Buenos Aires	Chicha	309
Buenos Aires	Lule	301
Buenos Aires	Lule Vilela	297
Buenos Aires	Selk´Nam/Ona	285
Buenos Aires	Aoniken	225
Buenos Aires	Avipón	201
Buenos Aires	Chorote	182
Buenos Aires	Chané	145
Buenos Aires	Pilagá	128
Buenos Aires	Vilela	117
Buenos Aires	Corundí	85
Buenos Aires	Guarayo	70
Buenos Aires	Kolla Atacameño	63
Buenos Aires	Ocloya	49
Buenos Aires	Toara	45
Buenos Aires	Chulupí/Nivaclé	41
Buenos Aires	Tastil	36
Buenos Aires	Weenhayek	28
Buenos Aires	Fiscara	25
Buenos Aires	Yagán	23
Buenos Aires	Tapiete	14
Buenos Aires	Tilián	11
Buenos Aires	Iogys	9
Buenos Aires	Jujuí	9
Buenos Aires	Mak'A	8
Buenos Aires	Isoceño	5
Buenos Aires	Minuán	5
Buenos Aires	Wayteca/Chono	3
Buenos Aires	Alakaluf	2
Buenos Aires	Churumata	2
Buenos Aires	Sin información	179726
Catamarca	Diaguita	11919
Catamarca	Diaguita Cacano	351
Catamarca	Kolla	290
Catamarca	Kolla Atacameño	230
Catamarca	Quechua	153
Catamarca	Mapuche	108
Catamarca	Guaraní	103
Catamarca	Qom/Toba	79
Catamarca	Atacama	62
Catamarca	Comechingón	50
Catamarca	Omaguaca	42
Catamarca	Wichi	35
Catamarca	Mapuche Tehuelche	27
Catamarca	Tehuelche	24
Catamarca	Huarpe	23
Catamarca	Tastil	20
Catamarca	Aymara	19
Catamarca	Ranquel	13
Catamarca	Charrúa	11
Catamarca	Sanavirón	10
Catamarca	Mbya Guaraní	6
Catamarca	Tonokoté	6
Catamarca	Chané	4
Catamarca	Günün A Küna	4
Catamarca	Chana	3
