codigo	comuna	provincia	region	poblacion_censada	indigena	otro_pueblo	sin_declarar
15101	Arica	Arica	Arica y Parinacota	241653	85439	983	46
15102	Camarones	Arica	Arica y Parinacota	861	687	11	0
15201	Putre	Parinacota	Arica y Parinacota	1547	1216	10	0
15202	General Lagos	Parinacota	Arica y Parinacota	508	474	0	0
1101	Iquique	Iquique	Tarapacá	199587	33246	582	44
1107	Alto Hospicio	Iquique	Tarapacá	142086	41377	520	46
1401	Pozo Almonte	Del Tamarugal	Tarapacá	16878	7876	116	3
1402	Camiña	Del Tamarugal	Tarapacá	1335	1164	3	0
1403	Colchane	Del Tamarugal	Tarapacá	790	631	6	0
1404	Huara	Del Tamarugal	Tarapacá	2858	1886	13	1
1405	Pica	Del Tamarugal	Tarapacá	6272	3807	16	1
2101	Antofagasta	Antofagasta	Antofagasta	401096	31955	822	76
2102	Mejillones	Antofagasta	Antofagasta	14084	1517	69	7
2103	Sierra Gorda	Antofagasta	Antofagasta	1472	216	1	0
2104	Taltal	Antofagasta	Antofagasta	12097	3098	20	1
2201	Calama	El Loa	Antofagasta	166334	45461	389	53
2202	Ollagüe	El Loa	Antofagasta	256	201	0	0
2203	San Pedro de Atacama	El Loa	Antofagasta	9843	6090	46	0
2301	Tocopilla	Tocopilla	Antofagasta	25400	2103	41	7
2302	María Elena	Tocopilla	Antofagasta	4834	639	24	3
3101	Copiapó	Copiapó	Atacama	168831	40091	350	40
3102	Caldera	Copiapó	Atacama	18805	5403	24	4
3103	Tierra Amarilla	Copiapó	Atacama	11846	3744	8	1
3201	Chañaral	Chañaral	Atacama	12345	1964	15	3
3202	Diego de Almagro	Chañaral	Atacama	11397	1739	8	1
3301	Vallenar	Huasco	Atacama	54222	16678	107	14
3302	Alto del Carmen	Huasco	Atacama	4788	2895	7	2
3303	Freirina	Huasco	Atacama	7577	2082	11	1
3304	Huasco	Huasco	Atacama	9369	2020	9	2
4101	La Serena	Elqui	Coquimbo	250141	26384	329	29
4102	Coquimbo	Elqui	Coquimbo	263719	23981	261	32
4103	Andacollo	Elqui	Coquimbo	11566	1281	12	1
4104	La Higuera	Elqui	Coquimbo	4335	795	10	0
4105	Paihuano	Elqui	Coquimbo	4649	539	10	2
4106	Vicuña	Elqui	Coquimbo	28047	3802	79	8
4201	Illapel	Choapa	Coquimbo	32009	2685	33	1
4202	Canela	Choapa	Coquimbo	9639	669	5	0
4203	Los Vilos	Choapa	Coquimbo	22879	2707	47	6
4204	Salamanca	Choapa	Coquimbo	27823	2679	58	0
4301	Ovalle	Limarí	Coquimbo	118696	18102	141	25
4302	Combarbalá	Limarí	Coquimbo	12954	2262	22	0
4303	Monte Patria	Limarí	Coquimbo	29997	4001	36	3
4304	Punitaqui	Limarí	Coquimbo	12076	2311	18	5
4305	Río Hurtado	Limarí	Coquimbo	4334	555	2	0
5101	Valparaíso	Valparaíso	Valparaíso	284938	14914	227	48
5102	Casablanca	Valparaíso	Valparaíso	29876	1582	34	6
5103	Concón	Valparaíso	Valparaíso	48294	1724	43	9
5104	Juan Fernández	Valparaíso	Valparaíso	904	110	46	0
5105	Puchuncaví	Valparaíso	Valparaíso	22539	1319	28	9
5107	Quintero	Valparaíso	Valparaíso	35754	2241	35	6
5109	Viña del Mar	Valparaíso	Valparaíso	334871	16080	301	59
5201	Isla de Pascua	Isla de Pascua	Valparaíso	4800	2740	4	7
5301	Los Andes	Los Andes	Valparaíso	63440	3134	50	3
5302	Calle Larga	Los Andes	Valparaíso	16597	985	15	1
5303	Rinconada	Los Andes	Valparaíso	11855	671	3	0
5304	San Esteban	Los Andes	Valparaíso	20112	1074	12	4
5401	La Ligua	Petorca	Valparaíso	39270	2823	44	3
5402	Cabildo	Petorca	Valparaíso	20015	1004	5	2
5403	Papudo	Petorca	Valparaíso	7561	562	8	0
5404	Petorca	Petorca	Valparaíso	10206	813	15	0
5405	Zapallar	Petorca	Valparaíso	7980	461	6	3
5501	Quillota	Quillota	Valparaíso	96753	4591	96	8
5502	Calera	Quillota	Valparaíso	50631	2414	47	2
5503	Hijuelas	Quillota	Valparaíso	19286	936	16	3
5504	La Cruz	Quillota	Valparaíso	24939	1209	56	2
5506	Nogales	Quillota	Valparaíso	22136	1039	8	2
5601	San Antonio	San Antonio	Valparaíso	96770	7982	106	14
5602	Algarrobo	San Antonio	Valparaíso	16076	1191	14	3
5603	Cartagena	San Antonio	Valparaíso	24599	1829	18	2
5604	El Quisco	San Antonio	Valparaíso	18971	1587	15	1
5605	El Tabo	San Antonio	Valparaíso	16260	1185	14	8
5606	Santo Domingo	San Antonio	Valparaíso	13171	793	8	2
5701	San Felipe	San Felipe de Aconcagua	Valparaíso	80413	4106	102	12
5702	Catemu	San Felipe de Aconcagua	Valparaíso	13760	640	7	1
