codigo	region	poblacion_censada	indigena	otro_pueblo	sin_declarar	comunas	Mapuche	Aymara	Rapa Nui	Atacameño o Lickanantay	Quechua	Colla	Diaguita	Kawésqar	Yagán	Chango	Selk'nam
15	Arica y Parinacota	244569	87816	1004	46	4	7574	70270	78	922	4107	444	3266	18	6	66	15
1	Tarapacá	369806	89987	1256	95	7	11197	55266	110	1007	10593	768	9276	32	21	347	19
2	Antofagasta	635416	91280	1412	147	9	14033	13772	67	27514	15530	890	13860	32	34	3972	17
3	Atacama	299180	76616	539	68	9	8756	3552	48	632	2052	15253	43522	23	15	2142	14
4	Coquimbo	832864	92753	1063	112	15	21690	6513	103	2056	1377	2179	53779	88	361	3391	41
5	Valparaíso	1896053	103716	1761	275	38	76464	5909	3269	1081	1636	825	11256	164	164	710	202
13	Metropolitana de Santiago	7400741	545700	9043	1029	52	491213	15736	1891	1915	8445	961	13425	421	213	748	660
6	Libertador General Bernardo O'Higgins	987228	50681	643	97	33	45710	1334	142	178	931	163	1262	51	29	106	35
7	Maule	1123008	47811	528	75	30	44180	1065	140	159	591	86	851	46	17	47	26
16	Ñuble	512289	20145	207	19	21	18654	538	73	88	118	27	345	19	10	22	25
8	Biobío	1613059	150917	757	97	33	146302	1596	231	248	446	109	816	119	50	74	72
9	La Araucanía	1010423	347285	357	140	32	344445	1052	171	152	212	75	499	70	31	41	40
14	Los Ríos	398230	96382	179	36	12	95018	477	69	87	113	37	258	42	17	26	23
10	Los Lagos	890284	236886	1256	112	30	232855	1134	190	123	269	71	525	149	49	77	76
11	Aysén del General Carlos Ibáñez del Campo	100745	29230	334	25	10	28362	192	26	21	38	7	100	66	17	12	30
12	Magallanes y de la Antártica Chilena	166537	38658	292	22	11	36620	231	51	38	61	18	191	813	210	14	97
0	País	18480432	2105863	20631	2395	346	1623073	178637	6659	36221	46519	21913	153231	2153	1244	11795	1392
