Familia linguistica y pueblo; Total ; Asuncion ; Concepcion ; San Pedro ; Guaira ; Caaguazu ; Caazapa ; Itapua ; Paraguari ; Alto Parana ; Central ; Amambay ; Canindeyu ; Presidente Hayes ; Boqueron ; Alto Paraguay 
Total pais ;137.547;420;3.635;4.642;1.929;13.265;5.294;3.490;116;8.908;3.074;12.415;16.305;29.837;29.801;4.416
Familia Guarani ;76.506;210;3.054;4.272;1.921;13.219;5.263;3.443;109;8.731;913;12.385;16.118;62;6.802;4
      Ache ;2.604;1;1; -   ;15;346;610;1;1;288;52;5;1.281;2;1; -   
      Ava Guarani ;22.705;86;35;2.082;17;937;28;9;73;6.977;393;353;11.699;3;11;2
      Mbya Guarani ;28.278;99;1.160;1.565;1.874;11.909;4.617;3.426;35;1.456;331;8;1.788;7;3; -   
      Pai Tavytera;15.705; -   ;1.854;460;3;9;6;1; -   ;9;3;12.007;1.335;10;6;2
      Guarani Occidental/Pueblo Guarani ;4.090;24;3;162; -   ;3;2;2; -   ; -   ;130;11;15;22;3.716; -   
      Guarani Nandeva ;3.124; -   ;1;3;12;15; -   ;4; -   ;1;4;1; -   ;18;3.065; -   
Familia Lengua Maskoy ;31.752;34;535;2; -   ; -   ;6;1; -   ;3;133;1;2;23.710;5.721;1.604
      Pueblo Enlhet Norte ;9.874;1;165; -   ; -   ; -   ; -   ; -   ; -   ; -   ;4;1; -   ;4.578;5.124;1
      Pueblo Enxet Sur ;8.189; -   ;68;1; -   ; -   ;2; -   ; -   ;2;17; -   ; -   ;8.022;76;1
      Pueblo Sanapana ;3.523;4;66; -   ; -   ; -   ; -   ; -   ; -   ; -   ;6; -   ; -   ;3.237;15;195
      Pueblo Angaite ;7.239;2;99; -   ; -   ; -   ; -   ; -   ; -   ; -   ;32; -   ; -   ;6.001;397;708
      Guana ;556;20;120;1; -   ; -   ;3; -   ; -   ; -   ;70; -   ; -   ;42;16;284
      Toba Maskoy/Toba Enenlhet ;2.371;7;17; -   ; -   ; -   ;1;1; -   ;1;4; -   ;2;1.830;93;415
Familia Mataco Mataguayo ;20.877;121;7;6;1;1;1;35; -   ;86;1.548;6;8;3.907;15.145;5
      Nivacle ;18.280;121;2;3; -   ;1;1;2; -   ;4;79;5;8;3.347;14.703;4
      Maka ;2.166; -   ; -   ;3; -   ; -   ; -   ;33; -   ;82;1.469; -   ; -   ;559;19;1
      Manjui ;431; -   ;5; -   ;1; -   ; -   ; -   ; -   ; -   ; -   ;1; -   ;1;423; -   
Familia Zamuco ;4.969;38;4;1; -   ;1; -   ; -   ; -   ; -   ;370;1; -   ;2;1.774;2.778
      Ayoreo ;2.520; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;1;1.769;750
      Ybytoso ;2.236;38;4; -   ; -   ;1; -   ; -   ; -   ; -   ;369; -   ; -   ; -   ;5;1.819
      Tomaraho ;213; -   ; -   ;1; -   ; -   ; -   ; -   ; -   ; -   ;1;1; -   ;1; -   ;209
Familia Guaicuru ;2.198;1;8;274; -   ; -   ; -   ; -   ; -   ;1;1; -   ; -   ;1.911;1;1
      Qom ;2.198;1;8;274; -   ; -   ; -   ; -   ; -   ;1;1; -   ; -   ;1.911;1;1
No indigena ;1.245;16;27;87;7;44;24;11;7;87;109;22;177;245;358;24
;1.245;16;27;87;7;44;24;11;7;87;109;22;177;245;358;24
