Departamento;Distrito;Area;Comunidad, aldea o barrio, nucleo familiar e individualidades;Familia linguistica del pueblo predominante;Pueblo;Cantidad de viviendas particulares;Cantidad de viviendas colectivas;Poblacion - Total;Poblacion - Varones;Poblacion - Mujeres
 Asuncion ; Asuncion ; Urbana ; Cerro Poty ; Guarani ; Ava Guarani / Mbya Guarani / Sanapana / No indigena ;40; -     ;149;75;74
 Asuncion ; Asuncion ; Urbana ; Individualidades de Asuncion ; Mataco Mataguayo ; Ache / Ava Guarani / Mbya Guarani / Guarani Occidental / Pueblo Guarani / Enlhet Norte / Sanapana / Angaite / Guana / Toba Maskoy / Toba Enenlhet / Nivacle / Ybytoso / Qom / No indigena ;105;2;271;122;149
 Concepcion ; Concepcion ; Urbana ; Redencion ; Lengua Maskoy ; Pai Tavytera/ Enlhet Norte / Enxet Sur / Sanapana / Angaite / Guana / Toba Maskoy / Toba Enenlhet / Manjui / Ybytoso / Qom / No indigena ;90; -     ;388;200;188
 Concepcion ; Belen ; Rural ; Ayvu Pora ; Guarani ; Mbya Guarani / No indigena ;19; -     ;59;31;28
 Concepcion ; Horqueta ; Rural ; Paso Ita ; Guarani ; Mbya Guarani / Pai Tavytera;28; -     ;99;49;50
 Concepcion ; Horqueta ; Rural ; Kora'i Punta Suerte ; Guarani ; Mbya Guarani ;5; -     ;27;14;13
 Concepcion ; Horqueta ; Rural ; Nande Yvy Pave; Guarani ; Mbya Guarani / Pai Tavytera/ Guarani Nandeva / Sanapana / No indigena ;23; -     ;88;44;44
 Concepcion ; Horqueta ; Rural ; Takuapu Pora - Nu Pora ; Guarani ; Mbya Guarani ;15; -     ;40;18;22
 Concepcion ; San Lazaro ; Rural ; Apa Acosta ; Lengua Maskoy ; Angaite / Guana / Toba Maskoy / Toba Enenlhet ;31; -     ;107;54;53
 Concepcion ; Yby Yau ; Rural ; Mberyvo Jaguarymi ; Guarani ; Pai Tavytera/ No indigena ;19; -     ;68;23;45
 Concepcion ; Yby Yau ; Rural ; Ypyju Tukambiju ; Guarani ; Pai Tavytera;41; -     ;164;88;76
 Concepcion ; Yby Yau ; Rural ; Takuarytiy ; Guarani ; Ava Guarani / Pai Tavytera;34; -     ;100;48;52
 Concepcion ; Yby Yau ; Rural ; Yvyraija ; Guarani ; Pai Tavytera/ No indigena ;32; -     ;103;49;54
 Concepcion ; Yby Yau ; Rural ; Cerro Puka ; Guarani ; Pai Tavytera;20; -     ;43;19;24
 Concepcion ; Yby Yau ; Rural ; Yrapey ; Guarani ; Mbya Guarani / Pai Tavytera/ Nivacle ;116; -     ;400;200;200
 Concepcion ; Yby Yau ; Rural ; Ka'aguy Poty Rory ; Guarani ; Pai Tavytera/ No indigena ;33; -     ;82;34;48
 Concepcion ; Yby Yau ; Rural ; Yvy Apu'a ; Guarani ; Pai Tavytera;19; -     ;58;20;38
 Concepcion ; Yby Yau ; Rural ; Yry Poty Peju ; Guarani ; Mbya Guarani / Pai Tavytera;50; -     ;171;89;82
 Concepcion ; Azote'y ; Rural ; Vy'a Pave; Guarani ; Ache / Ava Guarani / Mbya Guarani / Pai Tavytera/ No indigena ;204; -     ;902;398;504
 Concepcion ; Sargento Jose Felix Lopez ; Rural ; Takuarita ; Guarani ; Ava Guarani / Mbya Guarani / Pai Tavytera/ Guarani Occidental / Pueblo Guarani ;41; -     ;212;109;103
 Concepcion ; Paso Barreto ; Rural ; Jeguahaty ; Guarani ; Mbya Guarani / Pai Tavytera/ No indigena ;62; -     ;149;66;83
 Concepcion ; Paso Barreto ; Rural ; Vy'a Renda - Boqueron ; Guarani ; Ava Guarani / Mbya Guarani ;62; -     ;281;142;139
 Concepcion ; Paso Barreto ; Rural ; Takuarendyju ; Guarani ; Pai Tavytera;7; -     ;18;9;9
 Concepcion ; Arroyito ; Rural ; Nucleo de familias Kuero Fresco - Nu Pora ; Guarani ; Ava Guarani / Mbya Guarani / Pai Tavytera;5; -     ;17;6;11
 Concepcion ; Itacua ; Rural ; Calera Guyrati ; Lengua Maskoy ; Angaite ;23; -     ;59;32;27
 San Pedro ; General Elizardo Aquino ; Rural ; Mboi Kua ; Guarani ; Mbya Guarani ;18; -     ;60;31;29
 San Pedro ; Nueva Germania ; Rural ; Y'apy Poty ; Guarani ; Pai Tavytera;30; -     ;102;44;58
 San Pedro ; San Estanislao ; Rural ; Javier Kue Rugua ; Guarani ; Mbya Guarani ;23; -     ;38;20;18
 San Pedro ; San Estanislao ; Rural ; San Antonio ; Guarani ; Mbya Guarani / Guarani Nandeva ;29; -     ;51;25;26
 San Pedro ; Tacuati ; Rural ; Jeroky Roka ; Guarani ; Ava Guarani / Pai Tavytera/ No indigena ;32; -     ;63;36;27
 San Pedro ; Tacuati ; Rural ; Kapi'itindy ; Guarani ; Pai Tavytera/ No indigena ;53; -     ;181;95;86
 San Pedro ; Tacuati ; Rural ; Yvamindy ; Guarani ; Ava Guarani / Mbya Guarani / Pai Tavytera;45; -     ;178;90;88
 San Pedro ; Tacuati ; Rural ; Nu Rugua ; Guarani ; Ava Guarani / Mbya Guarani / Pai Tavytera/ No indigena ;75; -     ;182;90;92
 San Pedro ; Tacuati ; Rural ; Espajin ; Guarani ; Mbya Guarani / Pai Tavytera/ No indigena ;65; -     ;220;100;120
 San Pedro ; Villa del Rosario ; Rural ; Boqueron ; Guaicuru ; Qom / No indigena ;21; -     ;101;53;48
 San Pedro ; Villa del Rosario ; Rural ; Urukuy - Las Palmas ; Guaicuru ; Enxet Sur / Maka / Qom / No indigena ;24; -     ;90;48;42
 San Pedro ; General Francisco Isidoro Resquin ; Rural ; Santa Carolina ; Guarani ; Ava Guarani ;95; -     ;376;191;185
 San Pedro ; General Francisco Isidoro Resquin ; Rural ; Naranjito - Santa Lucia ; Guarani ; Ava Guarani / Mbya Guarani / Pai Tavytera/ Qom / No indigena ;91; -     ;306;162;144
 San Pedro ; General Francisco Isidoro Resquin ; Rural ; Tahekyi ; Guarani ; Ava Guarani / Mbya Guarani ;22; -     ;68;32;36
 San Pedro ; General Francisco Isidoro Resquin ; Rural ; Tapyi Kue ; Guarani ; Ava Guarani / Mbya Guarani / No indigena ;71; -     ;248;123;125
 San Pedro ; General Francisco Isidoro Resquin ; Rural ; Naranjay ; Guarani ; Mbya Guarani / Tomaraho ;30; -     ;81;42;39
 San Pedro ; General Francisco Isidoro Resquin ; Rural ; Ko'e Poty ; Guarani ; Ava Guarani / Mbya Guarani / No indigena ;31; -     ;136;67;69
 San Pedro ; Yataity del Norte ; Rural ; Virgen Del Carmen ; Guarani ; Mbya Guarani ;15; -     ;47;24;23
 San Pedro ; Yataity del Norte ; Rural ; La Paloma ; Guarani ; Ava Guarani ;9; -     ;15;7;8
 San Pedro ; Guajayvi ; Rural ; Nu Apu'a ; Guarani ; Ava Guarani / Mbya Guarani / No indigena ;45; -     ;181;80;101
 San Pedro ; Guajayvi ; Rural ; San Jose Kupa'y ; Guarani ; Mbya Guarani / No indigena ;15; -     ;36;19;17
 San Pedro ; Capiibary ; Rural ; Ka'aty Mir? - San Francisco ; Guarani ; Ava Guarani ;24; -     ;68;38;30
 San Pedro ; Capiibary ; Rural ; Ka'aguy Pyahu 1 ; Guarani ; Ava Guarani / Mbya Guarani ;13; -     ;30;17;13
 San Pedro ; Capiibary ; Rural ; Ka'aguy Pyahu 2 ; Guarani ; Ava Guarani ;7; -     ;17;8;9
 San Pedro ; Capiibary ; Rural ; Parakau Keha ; Guarani ; Ava Guarani ;23; -     ;50;27;23
 San Pedro ; Capiibary ; Rural ; Ypach? ; Guarani ; Mbya Guarani ;12; -     ;52;26;26
 San Pedro ; Capiibary ; Rural ; Rio Corrientemi ; Guarani ; Ava Guarani / Mbya Guarani ;60; -     ;95;52;43
 San Pedro ; Capiibary ; Rural ; San Jose ; Guarani ; Ava Guarani ;6; -     ;25;12;13
 San Pedro ; Capiibary ; Rural ; Rio Verde ; Guarani ; Ava Guarani / Qom / No indigena ;14; -     ;31;16;15
 San Pedro ; Capiibary ; Rural ; Tatar? 14 ; Guarani ; Ava Guarani ;30; -     ;47;31;16
 San Pedro ; Capiibary ; Rural ; Parakau Keha 1 ; Guarani ; Ava Guarani ;10; -     ;24;14;10
 San Pedro ; Santa Rosa del Aguaray ; Rural ; Arroyo Verde ; Guarani ; Ava Guarani ;19; -     ;91;41;50
 San Pedro ; Santa Rosa del Aguaray ; Rural ; Blanca'i ; Guarani ; Mbya Guarani / Guarani Nandeva / No indigena ;30; -     ;64;34;30
 San Pedro ; Santa Rosa del Aguaray ; Rural ; Ka'aguy Pyahu ; Guarani ; Ava Guarani / Mbya Guarani / Pai Tavytera/ No indigena ;24; -     ;62;27;35
 San Pedro ; Santa Rosa del Aguaray ; Rural ; Isla Pora ; Guarani ; Ava Guarani / Mbya Guarani / Pai Tavytera/ No indigena ;17; -     ;45;21;24
