Familia linguistica y pueblo indigena;Total de comunidades ;Condicion de tenencia de personeria juridica  -  Si tiene  - Condicion de tenencia de personeria juridica  -  Si tiene ;Condicion de tenencia de personeria juridica  - No tiene  - Condicion de tenencia de personeria juridica  - No tiene ;Condicion de tenencia de personeria juridica  - No Reportado  - Condicion de tenencia de personeria juridica  - No Reportado 
Total;557;494;62;1
   Guarani;430;375;55; -     
        Ache;6;6; -     ; -     
        Ava Guarani;150;133;17; -     
        Mbya Guarani;200;167;33; -     
        Pai Tavytera;61;57;4; -     
        Guarani Occidental / Pueblo Guarani;6;5;1; -     
        Guarani Nandeva;7;7; -     ; -     
   Lengua Maskoy;51;48;2;1
        Enlhet Norte;11;11; -     ; -     
        Enxet Sur;14;14; -     ; -     
        Sanapana;8;7; -     ;1
        Angaite;13;12;1; -     
        Guana;2;2; -     ; -     
        Toba Maskoy / Toba Enenlhet;3;2;1; -     
   Mataco - Mataguayo;29;27;2; -     
        Nivacle;23;22;1; -     
        Maka;4;4; -     ; -     
        Manjui;2;1;1; -     
   Zamuco;35;32;3; -     
        Ayoreo;26;24;2; -     
        Ybytoso;8;7;1; -     
        Tomaraho;1;1; -     ; -     
   Guaicuru;12;12; -     ; -     
        Qom;12;12; -     ; -     
    Region Oriental ;428;372;56; -     
    Region Occidental ;129;122;6;1
