Pueblo y grupos de edad;Total - Total;Total - Sexo - Varon ;Total - Sexo - Mujer;Area Urbana  - Total;Area Urbana  - Sexo - Varon ;Area Urbana  - Sexo - Mujer;Area Rural - Total;Area Rural - Sexo - Varon ;Area Rural - Sexo - Mujer
    Total pais ;137.547;70.110;67.437;16.776;8.513;8.263;120.771;61.597;59.174
         De 0 a 4 anos;18.655;9.515;9.140;1.890;933;957;16.765;8.582;8.183
         De 5 a 9 anos;18.083;9.277;8.806;1.924;1.021;903;16.159;8.256;7.903
         De 10 a 14 anos;16.185;8.381;7.804;1.856;971;885;14.329;7.410;6.919
         De 15 a 19 anos;14.874;7.471;7.403;1.805;925;880;13.069;6.546;6.523
         De 20 a 24 anos;13.391;6.667;6.724;1.670;844;826;11.721;5.823;5.898
         De 25 a 29 anos;11.757;5.904;5.853;1.462;746;716;10.295;5.158;5.137
         De 30 a 34 anos;9.400;4.729;4.671;1.305;640;665;8.095;4.089;4.006
         De 35 a 39 anos;7.643;3.872;3.771;1.035;522;513;6.608;3.350;3.258
         De 40 a 44 anos;6.561;3.327;3.234;994;484;510;5.567;2.843;2.724
         De 45 a 49 anos;5.188;2.715;2.473;730;390;340;4.458;2.325;2.133
         De 50 a 54 anos;4.129;2.195;1.934;603;310;293;3.526;1.885;1.641
         De 55 a 59 anos;3.677;1.886;1.791;524;259;265;3.153;1.627;1.526
         De 60 a 64 anos;2.906;1.561;1.345;390;195;195;2.516;1.366;1.150
         De 65 a 69 anos;2.145;1.117;1.028;291;141;150;1.854;976;878
         De 70 a 74 anos;1.281;656;625;137;68;69;1.144;588;556
         De 75 a 79 anos;909;469;440;78;33;45;831;436;395
         De 80 a 84 anos;466;222;244;50;20;30;416;202;214
         De 85 a 89 anos;197;97;100;27;11;16;170;86;84
         De 90 anos y mas;100;49;51;5; - ;5;95;49;46
    Ache;2.604;1.329;1.275;53;29;24;2.551;1.300;1.251
         De 0 a 4 anos;439;200;239;4;3;1;435;197;238
         De 5 a 9 anos;395;196;199;9;5;4;386;191;195
         De 10 a 14 anos;358;186;172;6;3;3;352;183;169
         De 15 a 19 anos;288;165;123;9;6;3;279;159;120
         De 20 a 24 anos;221;102;119;6;3;3;215;99;116
         De 25 a 29 anos;192;101;91;5;3;2;187;98;89
         De 30 a 34 anos;150;67;83;3;3; - ;147;64;83
         De 35 a 39 anos;121;60;61;2;1;1;119;59;60
         De 40 a 44 anos;117;62;55;4;2;2;113;60;53
         De 45 a 49 anos;62;34;28;2; - ;2;60;34;26
         De 50 a 54 anos;47;29;18; - ; - ; - ;47;29;18
         De 55 a 59 anos;58;37;21;2; - ;2;56;37;19
         De 60 a 64 anos;53;27;26;1; - ;1;52;27;25
         De 65 a 69 anos;36;15;21; - ; - ; - ;36;15;21
         De 70 a 74 anos;23;17;6; - ; - ; - ;23;17;6
         De 75 a 79 anos;24;15;9; - ; - ; - ;24;15;9
         De 80 a 84 anos;12;8;4; - ; - ; - ;12;8;4
         De 85 a 89 anos;4;4; - ; - ; - ; - ;4;4; - 
         De 90 anos y mas;4;4; - ; - ; - ; - ;4;4; - 
    Ava Guarani;22.705;11.539;11.166;603;327;276;22.102;11.212;10.890
         De 0 a 4 anos;3.455;1.782;1.673;81;39;42;3.374;1.743;1.631
         De 5 a 9 anos;3.288;1.657;1.631;71;32;39;3.217;1.625;1.592
         De 10 a 14 anos;2.836;1.440;1.396;62;31;31;2.774;1.409;1.365
         De 15 a 19 anos;2.801;1.352;1.449;82;45;37;2.719;1.307;1.412
